Latitude,Longitude,Temperatura,Umidade,Data,Hora
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:43
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:48
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:53
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:58
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:03
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:08
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:13
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:18
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:23
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:28
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:33
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:38
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:43
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:48
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:53
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:36:58
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:03
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:09
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:14
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:19
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:24
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:29
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:34
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:39
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:44
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:49
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:54
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:37:59
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:04
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:09
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:14
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:19
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:24
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:29
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:34
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:39
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:44
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:49
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:54
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:38:59
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:04
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:09
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:14
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:19
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:24
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:29
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:34
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:39
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:44
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:49
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:54
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:39:59
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:04
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:09
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:14
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:19
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:24
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:29
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:34
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:39
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:44
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:49
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:40:55
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:00
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:05
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:10
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:15
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:20
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:25
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:30
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:35
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:40
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:45
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:50
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:41:55
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:00
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:05
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:10
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:15
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:20
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:25
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:30
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:35
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:40
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:45
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:50
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:42:55
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:00
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:05
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:10
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:15
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:20
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:25
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:30
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:35
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:40
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:45
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:50
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:43:55
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:00
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:05
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:10
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:15
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:20
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:26
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:31
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:36
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:41
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:46
